id,table_id,note,created_at,updated_at
1,10,"Initial Upload","2016-03-28 19:45:09","2016-03-28 19:45:09"
2,10,"Initial Upload","2016-03-28 19:45:39","2016-03-28 19:45:39"
3,11,"Initial Upload","2016-03-28 19:52:43","2016-03-28 19:52:43"
4,11,"More initial uploads","2016-03-28 20:00:16","2016-03-28 20:00:16"
5,11,"More initial uploads","2016-03-28 20:00:29","2016-03-28 20:00:29"
6,11,"More initial uploads","2016-03-28 20:00:41","2016-03-28 20:00:41"
7,11,"More initial uploads","2016-03-28 20:00:54","2016-03-28 20:00:54"
8,11,"More initial uploads","2016-03-28 20:01:06","2016-03-28 20:01:06"
9,12,"Initial Upload","2016-03-28 20:02:23","2016-03-28 20:02:23"
10,12,"More initial uploads","2016-03-28 20:02:38","2016-03-28 20:02:38"
11,13,"Initial Upload","2016-03-30 16:47:32","2016-03-30 16:47:32"
12,13,"More tax file","2016-03-30 16:48:09","2016-03-30 16:48:09"
13,14,"Initial Upload","2016-04-04 20:27:09","2016-04-04 20:27:09"
14,15,"Initial Upload","2016-04-04 20:27:44","2016-04-04 20:27:44"
15,16,"Initial Upload","2016-04-04 20:30:57","2016-04-04 20:30:57"
16,17,"Initial Upload","2016-04-04 20:32:05","2016-04-04 20:32:05"
17,16,,"2016-04-04 20:34:29","2016-04-04 20:34:29"
18,16,,"2016-04-04 20:35:57","2016-04-04 20:35:57"
19,18,"Initial Upload","2016-04-04 20:55:41","2016-04-04 20:55:41"
20,18,,"2016-04-04 22:07:07","2016-04-04 22:07:07"
22,19,,"2016-04-09 18:26:17","2016-04-09 18:26:17"
33,20,,"2016-04-10 23:15:21","2016-04-10 23:15:21"
47,31,,"2016-04-16 19:56:46","2016-04-16 19:56:46"
48,31,,"2016-04-16 20:07:32","2016-04-16 20:07:32"
49,32,"Initial Upload","2016-04-16 20:10:38","2016-04-16 20:10:38"
50,33,"Initial Upload","2016-04-16 20:51:22","2016-04-16 20:51:22"
51,34,"Initial Upload","2016-04-16 21:31:02","2016-04-16 21:31:02"
52,37,"Initial Upload","2016-04-17 18:40:59","2016-04-17 18:40:59"
53,38,"Initial Upload","2016-04-17 18:53:16","2016-04-17 18:53:16"
54,39,"Initial Upload","2016-04-17 18:55:55","2016-04-17 18:55:55"
55,40,"Initial Upload","2016-04-17 19:06:30","2016-04-17 19:06:30"
57,45,,"2016-04-19 21:18:30","2016-04-19 21:18:30"
58,46,"Initial Upload","2016-04-24 15:34:23","2016-04-24 15:34:23"
66,50,,"2016-07-01 15:18:32","2016-07-01 15:18:32"
67,52,"Dropbox Initial Upload","2016-09-22 18:52:47","2016-09-22 18:52:47"
68,52,"Dropbox upload","2016-09-22 18:55:27","2016-09-22 18:55:27"
69,52,"Dropbox upload","2016-09-22 18:56:29","2016-09-22 18:56:29"
70,52,"Dropbox upload","2016-09-22 18:57:14","2016-09-22 18:57:14"
71,33,"Dropbox upload","2016-09-22 19:00:53","2016-09-22 19:00:53"
72,54,"Dropbox Initial Upload","2016-09-22 19:05:27","2016-09-22 19:05:27"
73,52,"Dropbox upload","2016-09-23 00:00:03","2016-09-23 00:00:03"
74,52,"Dropbox upload","2016-09-24 00:00:03","2016-09-24 00:00:03"
75,52,"Dropbox upload","2016-09-25 00:00:03","2016-09-25 00:00:03"
76,52,"Dropbox upload","2016-09-26 00:00:03","2016-09-26 00:00:03"
77,52,"Dropbox upload","2016-09-27 00:00:05","2016-09-27 00:00:05"
78,52,"Dropbox upload","2016-09-28 00:00:03","2016-09-28 00:00:03"
79,52,"Dropbox upload","2016-09-29 00:00:05","2016-09-29 00:00:05"
80,52,"Dropbox upload","2016-09-30 00:00:04","2016-09-30 00:00:04"
81,52,"Dropbox upload","2016-10-01 00:00:03","2016-10-01 00:00:03"
82,52,"Dropbox upload","2016-10-02 00:00:03","2016-10-02 00:00:03"
83,52,"Dropbox upload","2016-10-03 00:00:03","2016-10-03 00:00:03"
84,52,"Dropbox upload","2016-10-04 00:00:03","2016-10-04 00:00:03"
85,52,"Dropbox upload","2016-10-05 00:00:03","2016-10-05 00:00:03"
86,52,"Dropbox upload","2016-10-06 00:00:03","2016-10-06 00:00:03"
87,52,"Dropbox upload","2016-10-07 00:00:02","2016-10-07 00:00:02"
88,52,"Dropbox upload","2016-10-08 00:00:03","2016-10-08 00:00:03"
89,52,"Dropbox upload","2016-10-09 00:00:05","2016-10-09 00:00:05"
90,52,"Dropbox upload","2016-10-10 00:00:03","2016-10-10 00:00:03"
91,52,"Dropbox upload","2016-10-11 00:00:03","2016-10-11 00:00:03"
92,52,"Dropbox upload","2016-10-12 00:00:03","2016-10-12 00:00:03"
93,52,"Dropbox upload","2016-10-13 00:00:05","2016-10-13 00:00:05"
94,52,"Dropbox upload","2016-10-14 00:00:03","2016-10-14 00:00:03"
95,52,"Dropbox upload","2016-10-15 00:00:04","2016-10-15 00:00:04"
96,52,"Dropbox upload","2016-10-16 00:00:03","2016-10-16 00:00:03"
97,52,"Dropbox upload","2016-10-17 00:00:03","2016-10-17 00:00:03"
98,56,"Initial Upload","2016-10-17 11:49:17","2016-10-17 11:49:17"
99,56,"Initial Upload","2016-10-17 11:49:57","2016-10-17 11:49:57"
100,56,"Initial Upload","2016-10-17 12:50:40","2016-10-17 12:50:40"
101,56,"Initial Upload","2016-10-17 12:51:02","2016-10-17 12:51:02"
102,57,"Initial Upload","2016-10-17 12:57:13","2016-10-17 12:57:13"
103,57,,"2016-10-17 13:09:24","2016-10-17 13:09:24"
104,57,,"2016-10-17 13:09:36","2016-10-17 13:09:36"
105,57,,"2016-10-17 13:09:49","2016-10-17 13:09:49"
106,57,,"2016-10-17 13:10:03","2016-10-17 13:10:03"
107,57,,"2016-10-17 13:10:15","2016-10-17 13:10:15"
108,57,,"2016-10-17 13:10:27","2016-10-17 13:10:27"
109,57,,"2016-10-17 13:10:40","2016-10-17 13:10:40"
110,57,,"2016-10-17 13:10:52","2016-10-17 13:10:52"
111,57,,"2016-10-17 13:11:04","2016-10-17 13:11:04"
112,57,,"2016-10-17 13:11:20","2016-10-17 13:11:20"
113,57,,"2016-10-17 13:11:35","2016-10-17 13:11:35"
114,57,,"2016-10-17 13:11:50","2016-10-17 13:11:50"
115,57,,"2016-10-17 13:11:50","2016-10-17 13:11:50"
116,57,,"2016-10-17 13:12:03","2016-10-17 13:12:03"
117,57,,"2016-10-17 13:12:19","2016-10-17 13:12:19"
118,57,,"2016-10-17 13:12:32","2016-10-17 13:12:32"
119,57,,"2016-10-17 13:12:45","2016-10-17 13:12:45"
120,57,,"2016-10-17 13:12:57","2016-10-17 13:12:57"
121,57,,"2016-10-17 13:13:08","2016-10-17 13:13:08"
122,54,"Dropbox upload","2016-10-17 15:04:14","2016-10-17 15:04:14"
123,54,"Dropbox upload","2016-10-17 15:05:01","2016-10-17 15:05:01"
124,54,"Dropbox upload","2016-10-17 15:05:35","2016-10-17 15:05:35"
125,54,"Dropbox upload","2016-10-17 15:06:05","2016-10-17 15:06:05"
126,52,"Dropbox upload","2016-10-18 00:00:03","2016-10-18 00:00:03"
127,52,"Dropbox upload","2016-10-19 00:00:03","2016-10-19 00:00:03"
128,52,"Dropbox upload","2016-10-20 00:00:03","2016-10-20 00:00:03"
129,52,"Dropbox upload","2016-10-21 00:00:03","2016-10-21 00:00:03"
130,52,"Dropbox upload","2016-10-22 00:00:03","2016-10-22 00:00:03"
131,52,"Dropbox upload","2016-10-23 00:00:03","2016-10-23 00:00:03"
132,52,"Dropbox upload","2016-10-24 00:00:03","2016-10-24 00:00:03"
133,52,"Dropbox upload","2016-10-25 00:00:03","2016-10-25 00:00:03"
134,52,"Dropbox upload","2016-10-26 00:00:04","2016-10-26 00:00:04"
135,57,"Oct 26 upload","2016-10-26 22:12:23","2016-10-26 22:12:24"
136,52,"Dropbox upload","2016-10-27 00:00:03","2016-10-27 00:00:03"
137,52,"Dropbox upload","2016-10-28 00:00:04","2016-10-28 00:00:04"
138,52,"Dropbox upload","2016-10-29 00:00:04","2016-10-29 00:00:04"
139,52,"Dropbox upload","2016-10-30 00:00:04","2016-10-30 00:00:04"
140,52,"Dropbox upload","2016-10-31 00:00:04","2016-10-31 00:00:04"
141,52,"Dropbox upload","2016-11-01 00:00:03","2016-11-01 00:00:03"
142,52,"Dropbox upload","2016-11-02 00:00:04","2016-11-02 00:00:04"
143,52,"Dropbox upload","2016-11-03 00:00:03","2016-11-03 00:00:03"
144,52,"Dropbox upload","2016-11-04 00:00:04","2016-11-04 00:00:04"
145,52,"Dropbox upload","2016-11-05 00:00:03","2016-11-05 00:00:03"
146,52,"Dropbox upload","2016-11-06 00:00:03","2016-11-06 00:00:03"
147,52,"Dropbox upload","2016-11-07 00:00:05","2016-11-07 00:00:05"
148,52,"Dropbox upload","2016-11-08 00:00:06","2016-11-08 00:00:06"
149,52,"Dropbox upload","2016-11-09 00:00:03","2016-11-09 00:00:03"
150,52,"Dropbox upload","2016-11-10 00:00:03","2016-11-10 00:00:03"
151,52,"Dropbox upload","2016-11-11 00:00:03","2016-11-11 00:00:03"
152,52,"Dropbox upload","2016-11-12 00:00:04","2016-11-12 00:00:04"
153,52,"Dropbox upload","2016-11-13 00:00:03","2016-11-13 00:00:03"
154,52,"Dropbox upload","2016-11-14 00:00:03","2016-11-14 00:00:03"
155,57,,"2016-11-14 18:58:02","2016-11-14 18:58:02"
156,52,"Dropbox upload","2016-11-15 00:00:03","2016-11-15 00:00:03"
157,52,"Dropbox upload","2016-11-16 00:00:03","2016-11-16 00:00:03"
158,52,"Dropbox upload","2016-11-17 00:00:03","2016-11-17 00:00:03"
159,52,"Dropbox upload","2016-11-18 00:00:03","2016-11-18 00:00:03"
160,52,"Dropbox upload","2016-11-19 00:00:03","2016-11-19 00:00:03"
161,52,"Dropbox upload","2016-11-20 00:00:05","2016-11-20 00:00:05"
162,52,"Dropbox upload","2016-11-21 00:00:03","2016-11-21 00:00:03"
163,52,"Dropbox upload","2016-11-22 00:00:03","2016-11-22 00:00:03"
164,52,"Dropbox upload","2016-11-23 00:00:03","2016-11-23 00:00:03"
165,52,"Dropbox upload","2016-11-24 00:00:03","2016-11-24 00:00:03"
166,52,"Dropbox upload","2016-11-25 00:00:03","2016-11-25 00:00:03"
167,52,"Dropbox upload","2016-11-26 00:00:03","2016-11-26 00:00:03"
168,52,"Dropbox upload","2016-11-27 00:00:03","2016-11-27 00:00:03"
169,52,"Dropbox upload","2016-11-28 00:00:03","2016-11-28 00:00:03"
170,57,"Nov 28 2016 Update","2016-11-28 18:17:51","2016-11-28 18:17:51"
171,52,"Dropbox upload","2016-11-29 00:00:03","2016-11-29 00:00:03"
172,52,"Dropbox upload","2016-11-30 00:00:03","2016-11-30 00:00:03"
173,52,"Dropbox upload","2016-12-01 00:00:04","2016-12-01 00:00:04"
174,52,"Dropbox upload","2016-12-02 00:00:04","2016-12-02 00:00:04"
175,52,"Dropbox upload","2016-12-03 00:00:05","2016-12-03 00:00:05"
176,52,"Dropbox upload","2016-12-04 00:00:04","2016-12-04 00:00:04"
177,52,"Dropbox upload","2016-12-05 00:00:04","2016-12-05 00:00:04"
178,52,"Dropbox upload","2016-12-06 00:00:03","2016-12-06 00:00:03"
179,52,"Dropbox upload","2016-12-07 00:00:03","2016-12-07 00:00:03"
180,58,"Initial Upload","2016-12-07 20:59:24","2016-12-07 20:59:24"
182,59,,"2016-12-07 22:04:01","2016-12-07 22:04:01"
183,60,"Initial Upload","2016-12-07 22:08:07","2016-12-07 22:08:07"
184,52,"Dropbox upload","2016-12-08 00:00:04","2016-12-08 00:00:04"
185,52,"Dropbox upload","2016-12-09 00:00:04","2016-12-09 00:00:04"
186,52,"Dropbox upload","2016-12-10 00:00:03","2016-12-10 00:00:03"
187,52,"Dropbox upload","2016-12-11 00:00:04","2016-12-11 00:00:04"
188,52,"Dropbox upload","2016-12-12 00:00:04","2016-12-12 00:00:04"
189,52,"Dropbox upload","2016-12-13 00:00:03","2016-12-13 00:00:03"
190,52,"Dropbox upload","2016-12-14 00:00:04","2016-12-14 00:00:04"
191,52,"Dropbox upload","2016-12-15 00:00:03","2016-12-15 00:00:03"
192,52,"Dropbox upload","2016-12-16 00:00:04","2016-12-16 00:00:04"
193,52,"Dropbox upload","2016-12-17 00:00:03","2016-12-17 00:00:03"
194,52,"Dropbox upload","2016-12-18 00:00:03","2016-12-18 00:00:03"
195,52,"Dropbox upload","2016-12-19 00:00:03","2016-12-19 00:00:03"
196,54,"Dropbox upload","2016-12-19 13:28:17","2016-12-19 13:28:17"
197,54,"Dropbox upload","2016-12-19 13:29:09","2016-12-19 13:29:09"
198,54,"Dropbox upload","2016-12-19 13:29:18","2016-12-19 13:29:18"
199,54,"Dropbox upload","2016-12-19 13:30:18","2016-12-19 13:30:18"
200,54,"Dropbox upload","2016-12-19 13:30:57","2016-12-19 13:30:57"
201,54,"Dropbox upload","2016-12-19 13:31:20","2016-12-19 13:31:20"
202,54,"Dropbox upload","2016-12-19 13:31:39","2016-12-19 13:31:39"
203,54,"Dropbox upload","2016-12-19 13:32:14","2016-12-19 13:32:14"
204,54,"Dropbox upload","2016-12-19 13:32:49","2016-12-19 13:32:49"
205,54,"Dropbox upload","2016-12-19 13:33:11","2016-12-19 13:33:11"
206,54,"Dropbox upload","2016-12-19 13:33:30","2016-12-19 13:33:30"
207,54,"Dropbox upload","2016-12-19 13:33:50","2016-12-19 13:33:50"
208,54,"Dropbox upload","2016-12-19 13:34:08","2016-12-19 13:34:08"
209,54,"Dropbox upload","2016-12-19 13:39:43","2016-12-19 13:39:43"
210,54,,"2016-12-19 14:13:11","2016-12-19 14:13:11"
211,54,,"2016-12-19 14:13:30","2016-12-19 14:13:30"
212,54,,"2016-12-19 14:13:49","2016-12-19 14:13:49"
213,52,"Dropbox upload","2016-12-20 00:00:04","2016-12-20 00:00:04"
214,54,"Dropbox upload","2016-12-20 00:00:10","2016-12-20 00:00:10"
215,52,"Dropbox upload","2016-12-21 00:00:03","2016-12-21 00:00:03"
216,54,"Dropbox upload","2016-12-21 00:00:06","2016-12-21 00:00:06"
217,52,"Dropbox upload","2016-12-22 00:00:03","2016-12-22 00:00:03"
218,54,"Dropbox upload","2016-12-22 00:00:07","2016-12-22 00:00:07"
219,52,"Dropbox upload","2016-12-23 00:00:04","2016-12-23 00:00:04"
220,54,"Dropbox upload","2016-12-23 00:00:06","2016-12-23 00:00:06"
221,52,"Dropbox upload","2016-12-24 00:00:03","2016-12-24 00:00:03"
222,54,"Dropbox upload","2016-12-24 00:00:06","2016-12-24 00:00:06"
223,52,"Dropbox upload","2016-12-25 00:00:04","2016-12-25 00:00:04"
224,54,"Dropbox upload","2016-12-25 00:00:07","2016-12-25 00:00:07"
225,52,"Dropbox upload","2016-12-26 00:00:04","2016-12-26 00:00:04"
226,54,"Dropbox upload","2016-12-26 00:00:07","2016-12-26 00:00:07"
227,52,"Dropbox upload","2016-12-27 00:00:03","2016-12-27 00:00:03"
228,54,"Dropbox upload","2016-12-27 00:00:07","2016-12-27 00:00:07"
229,52,"Dropbox upload","2016-12-28 00:00:04","2016-12-28 00:00:04"
230,54,"Dropbox upload","2016-12-28 00:00:06","2016-12-28 00:00:06"
231,52,"Dropbox upload","2016-12-29 00:00:03","2016-12-29 00:00:03"
232,54,"Dropbox upload","2016-12-29 00:00:06","2016-12-29 00:00:06"
233,52,"Dropbox upload","2016-12-30 00:00:03","2016-12-30 00:00:03"
234,54,"Dropbox upload","2016-12-30 00:00:05","2016-12-30 00:00:05"
235,52,"Dropbox upload","2016-12-31 00:00:03","2016-12-31 00:00:03"
236,54,"Dropbox upload","2016-12-31 00:00:06","2016-12-31 00:00:06"
237,52,"Dropbox upload","2017-01-01 00:00:03","2017-01-01 00:00:03"
238,54,"Dropbox upload","2017-01-01 00:00:06","2017-01-01 00:00:06"
239,52,"Dropbox upload","2017-01-02 00:00:03","2017-01-02 00:00:03"
240,54,"Dropbox upload","2017-01-02 00:00:06","2017-01-02 00:00:06"
241,52,"Dropbox upload","2017-01-03 00:00:03","2017-01-03 00:00:03"
242,54,"Dropbox upload","2017-01-03 00:00:06","2017-01-03 00:00:06"
243,52,"Dropbox upload","2017-01-04 00:00:03","2017-01-04 00:00:03"
244,54,"Dropbox upload","2017-01-04 00:00:05","2017-01-04 00:00:05"
245,52,"Dropbox upload","2017-01-05 00:00:04","2017-01-05 00:00:04"
246,54,"Dropbox upload","2017-01-05 00:00:06","2017-01-05 00:00:06"
247,52,"Dropbox upload","2017-01-06 00:00:03","2017-01-06 00:00:03"
248,54,"Dropbox upload","2017-01-06 00:00:06","2017-01-06 00:00:06"
249,52,"Dropbox upload","2017-01-07 00:00:03","2017-01-07 00:00:03"
250,54,"Dropbox upload","2017-01-07 00:00:06","2017-01-07 00:00:06"
251,52,"Dropbox upload","2017-01-08 00:00:03","2017-01-08 00:00:03"
252,54,"Dropbox upload","2017-01-08 00:00:06","2017-01-08 00:00:06"
253,52,"Dropbox upload","2017-01-09 00:00:04","2017-01-09 00:00:04"
254,54,"Dropbox upload","2017-01-09 00:00:06","2017-01-09 00:00:06"
255,52,"Dropbox upload","2017-01-10 00:00:03","2017-01-10 00:00:03"
256,54,"Dropbox upload","2017-01-10 00:00:06","2017-01-10 00:00:06"
257,52,"Dropbox upload","2017-01-11 00:00:04","2017-01-11 00:00:04"
258,54,"Dropbox upload","2017-01-11 00:00:06","2017-01-11 00:00:06"
259,52,"Dropbox upload","2017-01-12 00:00:04","2017-01-12 00:00:04"
260,54,"Dropbox upload","2017-01-12 00:00:06","2017-01-12 00:00:06"
261,52,"Dropbox upload","2017-01-13 00:00:03","2017-01-13 00:00:03"
262,54,"Dropbox upload","2017-01-13 00:00:05","2017-01-13 00:00:05"
263,52,"Dropbox upload","2017-01-14 00:00:04","2017-01-14 00:00:04"
264,54,"Dropbox upload","2017-01-14 00:00:06","2017-01-14 00:00:06"
268,52,"Dropbox upload","2017-01-15 00:00:03","2017-01-15 00:00:03"
269,54,"Dropbox upload","2017-01-15 00:00:07","2017-01-15 00:00:07"
270,52,"Dropbox upload","2017-01-16 00:00:05","2017-01-16 00:00:05"
271,54,"Dropbox upload","2017-01-16 00:00:06","2017-01-16 00:00:06"
272,52,"Dropbox upload","2017-01-17 00:00:04","2017-01-17 00:00:04"
273,54,"Dropbox upload","2017-01-17 00:00:07","2017-01-17 00:00:07"
274,52,"Dropbox upload","2017-01-18 00:00:04","2017-01-18 00:00:04"
275,54,"Dropbox upload","2017-01-18 00:00:07","2017-01-18 00:00:07"
276,52,"Dropbox upload","2017-01-19 00:00:04","2017-01-19 00:00:04"
277,54,"Dropbox upload","2017-01-19 00:00:07","2017-01-19 00:00:07"
278,52,"Dropbox upload","2017-01-20 00:00:04","2017-01-20 00:00:04"
279,54,"Dropbox upload","2017-01-20 00:00:07","2017-01-20 00:00:07"
280,52,"Dropbox upload","2017-01-21 00:00:04","2017-01-21 00:00:04"
281,54,"Dropbox upload","2017-01-21 00:00:06","2017-01-21 00:00:06"
283,57,,"2017-01-21 02:29:58","2017-01-21 02:29:58"
284,61,"Initial Upload","2017-01-21 02:42:41","2017-01-21 02:42:41"
