tag_id,property_id,created_at,updated_at,deleted_at,created_by,deleted_by
20,2970,"2016-09-14 17:47:54","2016-09-14 17:47:54","2016-10-17 17:51:11",11,11
11,7197,"2016-09-14 18:09:03","2016-09-14 18:09:03",,11,
62,688,"2016-11-14 20:55:50","2016-11-14 20:55:50",,11,
11,840,"2016-09-14 16:15:08","2016-09-14 16:15:08",,11,
11,2894,"2016-09-14 17:05:13","2016-09-14 17:05:13",,11,
11,11610,"2016-09-14 17:25:39","2016-09-14 17:25:39",,11,
11,10747,"2016-09-14 17:29:50","2016-09-14 17:29:50",,11,
20,863,"2016-09-14 16:29:11","2016-09-14 16:29:11",,11,
20,7833,"2016-09-14 18:05:44","2016-09-14 18:05:44",,11,
31,6592,"2016-09-26 18:27:24","2016-09-26 18:27:24",,11,
55,9237,"2016-10-24 19:27:04","2016-10-24 19:27:04","2016-11-14 21:30:04",11,11
43,840,"2016-10-03 14:45:36","2016-10-03 14:45:36",,11,
65,9237,"2016-11-14 21:29:18","2016-11-14 21:29:18",,11,
55,4623,"2016-10-24 19:23:50","2016-10-24 19:23:50","2016-11-14 21:35:17",11,11
31,2158,"2016-10-19 13:39:40","2016-10-19 13:39:40",,11,
20,5096,"2016-09-14 18:07:33","2016-09-14 18:07:33","2016-10-19 13:43:56",11,11
64,584,"2016-11-14 21:35:12","2016-11-14 21:35:12",,11,
43,3081,"2016-10-03 14:52:15","2016-10-03 14:52:15",,11,
43,863,"2016-10-03 14:55:48","2016-10-03 14:55:48",,11,
64,1536,"2016-11-14 20:56:48","2016-11-14 20:56:48",,11,
64,5225,"2016-10-19 13:05:50","2016-10-19 13:05:50",,11,
52,5096,"2016-10-19 13:44:26","2016-10-19 13:44:26",,11,
43,12291,"2016-10-19 13:53:26","2016-10-19 13:53:26",,11,
11,17785,"2016-10-12 16:51:27","2016-10-12 16:51:27",,11,
11,13092,"2016-10-12 16:48:51","2016-10-12 16:48:51","2016-10-19 13:54:06",11,11
20,13092,"2016-10-12 16:49:14","2016-10-12 16:49:14","2016-10-19 13:54:08",11,11
20,15297,"2016-10-12 16:47:38","2016-10-12 16:47:38",,11,
59,27,"2016-10-26 20:14:01","2016-10-26 20:14:01",,11,
20,17785,"2016-10-12 16:51:34","2016-10-12 16:51:34","2016-10-12 17:02:49",11,11
20,17785,"2016-10-12 17:00:09","2016-10-12 17:00:09","2016-10-12 17:02:49",11,11
52,17,"2016-10-12 17:35:35","2016-10-12 17:35:35",,11,
52,4767,"2016-10-12 17:38:05","2016-10-12 17:38:05",,11,
52,5225,"2016-10-12 17:44:22","2016-10-12 17:44:22",,11,
52,1282,"2016-10-12 17:52:58","2016-10-12 17:52:58",,11,
52,1348,"2016-10-12 17:59:37","2016-10-12 17:59:37",,11,
52,5195,"2016-10-12 18:03:36","2016-10-12 18:03:36",,11,
52,186,"2016-10-19 13:58:06","2016-10-19 13:58:06",,11,
52,836,"2016-10-12 18:08:57","2016-10-12 18:08:57",,11,
43,836,"2016-10-03 14:43:58","2016-10-03 14:43:58","2016-10-12 18:11:26",11,11
52,1332,"2016-10-05 19:00:39","2016-10-05 19:00:39",,11,
52,12340,"2016-10-12 17:33:26","2016-10-12 17:33:26",,11,
52,624,"2016-10-12 18:13:32","2016-10-12 18:13:32",,11,
52,1621,"2016-10-12 18:14:51","2016-10-12 18:14:51",,11,
16,3913,"2016-10-12 18:22:08","2016-10-12 18:22:08",,11,
16,257,"2016-10-12 18:25:26","2016-10-12 18:25:26",,11,
64,806,"2016-11-14 21:37:19","2016-11-14 21:37:19",,11,
52,1647,"2016-10-12 18:27:59","2016-10-12 18:27:59",,11,
52,3946,"2016-10-12 18:30:43","2016-10-12 18:30:43",,11,
16,3972,"2016-10-12 18:31:07","2016-10-12 18:31:07",,11,
16,4198,"2016-10-12 18:33:22","2016-10-12 18:33:22",,11,
16,584,"2016-10-12 18:36:21","2016-10-12 18:36:21",,11,
52,588,"2016-10-12 18:49:44","2016-10-12 18:49:44",,11,
52,7,"2016-10-12 18:51:56","2016-10-12 18:51:56",,11,
16,5108,"2016-10-12 19:02:00","2016-10-12 19:02:00",,11,
52,1318,"2016-10-12 19:09:48","2016-10-12 19:09:48",,11,
52,1473,"2016-10-12 19:11:03","2016-10-12 19:11:03",,11,
59,4228,"2016-11-14 21:42:23","2016-11-14 21:42:23",,11,
52,2717,"2016-10-17 19:59:17","2016-10-17 19:59:17",,11,
38,15260,"2016-10-03 14:48:15","2016-10-03 14:48:15","2016-10-03 14:52:31",11,11
43,15260,"2016-10-03 14:50:31","2016-10-03 14:50:31",,11,
20,2112,"2016-10-12 18:02:36","2016-10-12 18:02:36","2016-10-26 20:34:38",11,11
55,706,"2016-10-26 20:36:15","2016-10-26 20:36:15",,11,
52,27,"2016-10-12 17:32:32","2016-10-12 17:32:32","2016-11-14 20:14:00",11,11
59,706,"2016-10-26 20:36:22","2016-10-26 20:36:22",,11,
58,1228,"2016-10-26 20:37:50","2016-10-26 20:37:50",,11,
20,5108,"2016-10-12 18:25:05","2016-10-12 18:25:05",,11,
20,4623,"2016-10-12 18:34:49","2016-10-12 18:34:49","2016-10-26 21:25:56",11,11
20,4135,"2016-10-12 18:32:33","2016-10-12 18:32:33",,11,
20,762,"2016-10-12 19:07:21","2016-10-12 19:07:21","2016-10-26 21:35:46",11,11
20,874,"2016-10-12 19:09:07","2016-10-12 19:09:07","2016-10-26 21:38:06",11,11
52,17817,"2016-10-12 17:41:25","2016-10-12 17:41:25",,11,
52,17942,"2016-10-12 17:46:16","2016-10-12 17:46:16",,11,
59,688,"2016-10-26 20:35:36","2016-10-26 20:35:36",,11,
20,688,"2016-10-12 18:07:00","2016-10-12 18:07:00","2016-10-26 20:35:56",11,11
20,27,"2016-10-12 19:12:03","2016-10-12 19:12:03","2016-10-26 20:14:24",11,11
59,12340,"2016-10-26 20:15:49","2016-10-26 20:15:49",,11,
43,11610,"2016-10-19 13:00:52","2016-10-19 13:00:52",,11,
43,1423,"2016-12-06 14:48:22","2016-12-06 14:48:22",,11,
43,5225,"2016-10-12 17:42:49","2016-10-12 17:42:49","2016-10-19 13:05:57",11,11
43,18062,"2016-10-03 14:54:48","2016-10-03 14:54:48",,11,
55,15846,"2016-10-24 19:10:38","2016-10-24 19:10:38",,11,
55,1472,"2016-10-24 19:11:17","2016-10-24 19:11:17",,11,
55,4170,"2016-10-24 19:11:46","2016-10-24 19:11:46",,11,
55,4987,"2016-10-24 19:12:44","2016-10-24 19:12:44",,11,
55,636,"2016-10-24 19:13:11","2016-10-24 19:13:11",,11,
55,13225,"2016-10-24 19:14:11","2016-10-24 19:14:11",,11,
55,2025,"2016-10-24 19:15:33","2016-10-24 19:15:33",,11,
55,3274,"2016-10-24 19:15:59","2016-10-24 19:15:59",,11,
55,5261,"2016-10-24 19:16:40","2016-10-24 19:16:40",,11,
55,15278,"2016-10-24 19:17:26","2016-10-24 19:17:26",,11,
55,12379,"2016-10-24 19:18:07","2016-10-24 19:18:07",,11,
55,4820,"2016-10-24 19:18:29","2016-10-24 19:18:29",,11,
55,5313,"2016-10-24 19:23:30","2016-10-24 19:23:30",,11,
55,584,"2016-10-24 19:25:51","2016-10-24 19:25:51",,11,
55,985,"2016-10-24 19:26:16","2016-10-24 19:26:16",,11,
55,11000,"2016-10-24 19:27:42","2016-10-24 19:27:42",,11,
52,10748,"2016-10-24 19:46:26","2016-10-24 19:46:26",,11,
11,10748,"2016-09-14 17:29:06","2016-09-14 17:29:06","2016-10-24 19:46:56",11,11
20,17785,"2016-10-24 19:54:01","2016-10-24 19:54:01",,11,
11,5876,"2016-10-26 13:25:15","2016-10-26 13:25:15",,11,
55,762,"2016-10-26 13:31:19","2016-10-26 13:31:19",,11,
29,10748,"2016-10-24 19:50:13","2016-10-24 19:50:13",,11,
20,1575,"2016-10-12 19:24:00","2016-10-12 19:24:00","2016-10-26 18:37:07",11,11
20,1575,"2016-10-12 19:25:23","2016-10-12 19:25:23","2016-10-26 18:37:07",11,11
58,7497,"2016-10-26 18:48:43","2016-10-26 18:48:43",,11,
20,12291,"2016-10-12 17:35:12","2016-10-12 17:35:12","2016-10-26 20:17:37",11,11
59,9237,"2016-10-26 20:18:42","2016-10-26 20:18:42",,11,
20,9237,"2016-10-12 17:37:37","2016-10-12 17:37:37","2016-10-26 20:19:02",11,11
59,1536,"2016-10-26 20:19:30","2016-10-26 20:19:30",,11,
59,2112,"2016-10-26 20:34:18","2016-10-26 20:34:18",,11,
20,706,"2016-10-12 18:10:40","2016-10-12 18:10:40","2016-10-26 20:36:42",11,11
52,1228,"2016-10-12 18:11:50","2016-10-12 18:11:50","2016-10-26 20:38:09",11,11
59,1228,"2016-10-26 20:38:02","2016-10-26 20:38:02",,11,
52,1423,"2016-10-12 18:19:21","2016-10-12 18:19:21","2016-10-26 20:45:27",11,11
59,1423,"2016-10-26 20:45:37","2016-10-26 20:45:37",,11,
59,7497,"2016-10-26 20:47:20","2016-10-26 20:47:20",,11,
20,7497,"2016-10-12 18:49:23","2016-10-12 18:49:23","2016-10-26 20:47:40",11,11
43,18457,"2016-10-03 14:43:20","2016-10-03 14:43:20","2016-10-19 13:05:05",11,11
59,18545,"2016-10-26 20:48:21","2016-10-26 20:48:21","2016-10-26 20:48:50",11,11
72,5064,"2017-01-18 20:42:50","2017-01-18 20:42:50",,11,
59,15846,"2016-10-26 21:04:44","2016-10-26 21:04:44",,11,
20,15846,"2016-10-12 19:22:14","2016-10-12 19:22:14","2016-10-26 21:05:05",11,11
59,15278,"2016-10-26 21:15:58","2016-10-26 21:15:58",,11,
59,18035,"2016-10-26 21:18:39","2016-10-26 21:18:39",,11,
59,4426,"2016-10-26 21:07:02","2016-10-26 21:07:02",,11,
55,4426,"2016-10-26 21:07:09","2016-10-26 21:07:09",,11,
20,5195,"2016-10-12 18:03:42","2016-10-12 18:03:42","2016-10-26 21:45:10",11,11
59,12291,"2016-10-26 20:17:17","2016-10-26 20:17:17","2016-11-14 20:17:26",11,11
20,3967,"2016-10-12 18:23:35","2016-10-12 18:23:35",,11,
59,1575,"2016-10-26 21:19:35","2016-10-26 21:19:35",,11,
59,1608,"2016-10-26 21:20:38","2016-10-26 21:20:38",,11,
59,1613,"2016-10-26 21:21:57","2016-10-26 21:21:57",,11,
55,3967,"2016-10-26 21:22:15","2016-10-26 21:22:15",,11,
59,3967,"2016-10-26 21:22:58","2016-10-26 21:22:58",,11,
59,5286,"2016-10-26 21:24:39","2016-10-26 21:24:39",,11,
20,5286,"2016-10-12 18:26:52","2016-10-12 18:26:52","2016-10-26 21:24:59",11,11
59,4623,"2016-10-26 21:25:36","2016-10-26 21:25:36",,11,
59,584,"2016-10-26 21:26:16","2016-10-26 21:26:16",,11,
59,36,"2016-10-26 21:33:50","2016-10-26 21:33:50",,11,
20,36,"2016-10-12 19:05:51","2016-10-12 19:05:51","2016-10-26 21:34:10",11,11
59,762,"2016-10-26 21:35:26","2016-10-26 21:35:26",,11,
52,806,"2016-10-26 21:36:21","2016-10-26 21:36:21",,11,
55,874,"2016-10-26 21:37:37","2016-10-26 21:37:37",,11,
59,874,"2016-10-26 21:37:46","2016-10-26 21:37:46",,11,
55,1575,"2016-10-26 21:19:42","2016-10-26 21:19:42","2016-11-14 21:28:54",11,11
64,5286,"2016-11-14 21:32:36","2016-11-14 21:32:36",,11,
16,7482,"2016-10-26 21:51:48","2016-10-26 21:51:48",,11,
16,93,"2016-10-26 21:55:39","2016-10-26 21:55:39",,11,
64,36,"2016-11-14 21:35:57","2016-11-14 21:35:57",,11,
64,1238,"2016-10-26 21:38:58","2016-10-26 21:38:58","2016-11-14 21:41:29",11,11
59,1238,"2016-10-26 21:38:47","2016-10-26 21:38:47","2016-11-14 21:41:31",11,11
64,1755,"2016-11-14 21:43:04","2016-11-14 21:43:04",,11,
43,15990,"2016-10-03 14:46:25","2016-10-03 14:46:25","2016-12-06 15:16:40",11,11
59,17272,"2016-10-26 21:35:02","2016-10-26 21:35:02","2016-12-06 21:37:49",11,11
72,5225,"2017-01-18 20:49:25","2017-01-18 20:49:25",,11,
72,18457,"2017-01-20 16:34:12","2017-01-20 16:34:12",,11,
64,706,"2016-11-14 20:57:04","2016-11-14 20:57:04",,11,
64,1423,"2016-11-14 21:01:32","2016-11-14 21:01:32",,11,
59,18545,"2016-11-14 21:04:31","2016-11-14 21:04:31",,11,
62,15631,"2016-11-14 21:11:38","2016-11-14 21:11:38",,11,
64,15846,"2016-08-03 14:31:57","2016-08-03 14:31:57",,11,
64,15278,"2016-08-03 14:36:48","2016-08-03 14:36:48",,11,
64,874,"2016-10-26 21:39:27","2016-10-26 21:39:27",,11,
64,27,"2016-10-26 21:40:02","2016-10-26 21:40:02",,11,
64,1332,"2016-10-26 21:40:45","2016-10-26 21:40:45",,11,
64,12340,"2016-10-26 21:40:19","2016-10-26 21:40:19","2016-10-26 21:42:03",11,11
64,12291,"2016-10-26 21:41:03","2016-10-26 21:41:03","2016-10-26 21:42:15",11,11
64,4767,"2016-10-26 21:42:16","2016-10-26 21:42:16",,11,
64,17817,"2016-10-26 21:42:44","2016-10-26 21:42:44",,11,
64,17942,"2016-10-26 21:43:47","2016-10-26 21:43:47",,11,
64,1282,"2016-10-26 21:44:03","2016-10-26 21:44:03",,11,
64,1348,"2016-10-26 21:44:24","2016-10-26 21:44:24",,11,
64,5195,"2016-10-26 21:44:49","2016-10-26 21:44:49",,11,
64,17934,"2016-10-26 21:45:13","2016-10-26 21:45:13",,11,
64,836,"2016-10-26 21:46:54","2016-10-26 21:46:54",,11,
64,285,"2016-10-26 21:47:13","2016-10-26 21:47:13",,11,
64,624,"2016-10-26 21:47:25","2016-10-26 21:47:25",,11,
64,1621,"2016-10-26 21:47:40","2016-10-26 21:47:40",,11,
64,17033,"2016-10-26 21:48:41","2016-10-26 21:48:41",,11,
64,17786,"2016-10-26 21:48:53","2016-10-26 21:48:53",,11,
64,7478,"2016-10-26 21:49:40","2016-10-26 21:49:40",,11,
64,184,"2016-10-26 21:49:53","2016-10-26 21:49:53",,11,
64,1085,"2016-10-26 21:50:18","2016-10-26 21:50:18",,11,
64,12118,"2016-10-26 21:51:03","2016-10-26 21:51:03",,11,
64,7482,"2016-10-26 21:51:52","2016-10-26 21:51:52",,11,
64,2070,"2016-10-26 21:52:36","2016-10-26 21:52:36",,11,
64,13261,"2016-10-26 21:53:58","2016-10-26 21:53:58",,11,
64,3165,"2016-10-26 21:54:49","2016-10-26 21:54:49",,11,
64,3698,"2016-10-26 21:55:17","2016-10-26 21:55:17",,11,
64,93,"2016-10-26 21:55:43","2016-10-26 21:55:43",,11,
64,134,"2016-10-26 21:56:17","2016-10-26 21:56:17",,11,
64,282,"2016-10-26 21:56:44","2016-10-26 21:56:44",,11,
64,607,"2016-10-26 21:57:14","2016-10-26 21:57:14",,11,
64,12505,"2016-10-26 21:57:45","2016-10-26 21:57:45",,11,
64,989,"2016-10-26 21:58:24","2016-10-26 21:58:24",,11,
64,1087,"2016-10-26 21:58:51","2016-10-26 21:58:51",,11,
64,1774,"2016-10-26 21:59:11","2016-10-26 21:59:11",,11,
64,15337,"2016-10-26 22:01:05","2016-10-26 22:01:05",,11,
64,17927,"2016-10-26 22:01:35","2016-10-26 22:01:35",,11,
38,35,"2016-09-07 20:15:57","2016-09-07 20:15:57","2017-01-23 13:42:21",11,1
38,35,"2017-01-23 14:00:22","2017-01-23 14:00:22",,1,
